                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5299,                 6.9871,                  2.786,                0.00758,                0.02778,                 0.0081,                0.00486,                 2.1666,                 6.5512,                 3.1068,               1.19e-06,               1.19e-06,               1.19e-06
                      2,                 2.4732,                  6.526,                 2.5619,                0.01042,                0.02778,                0.00811,                0.00486,                 2.1828,                 6.5954,                 3.0735,             2.3919e-06,             2.3919e-06,             2.3919e-06
                      3,                 2.5159,                 7.0098,                  2.822,                0.01042,                0.02778,                0.00904,                0.00542,                 2.1726,                 6.6355,                 3.0391,              2.023e-06,              2.023e-06,              2.023e-06
