                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91125,                 2.9295,                 1.3546,                0.60713,                0.87369,                0.88797,                0.61855,                 1.3979,                 1.3333,                 1.2555,                      0,                      0,                      0
                      2,                0.90129,                 2.3838,                 1.2548,                0.59368,                 0.8904,                0.88765,                0.61673,                 1.4031,                 1.3416,                 1.2526,              7.973e-07,              7.973e-07,              7.973e-07
                      3,                 1.2426,                 3.0959,                 1.5384,                0.55488,                0.86653,                0.87383,                0.60759,                 1.4263,                  1.361,                 1.2653,              8.092e-07,              8.092e-07,              8.092e-07
